 aqi, level, so2, no2, co, o3, pm10, pm2_5
57,2,16,15,0.7,44,52,40
97,2,27,38,1.2,93,102,72
106,3,3,23,0.9,166,72,42
58,2,12,36,1.1,104,58,41
70,2,3,20,0.5,123,35,15
82,2,3,18,0.3,138,85,19
53,2,17,17,0.5,60,55,33
43,1,7,23,1,85,31,30
30,1,6,15,0.4,60,25,9
75,2,6,25,0.9,73,56,55
33,1,6,22,0.7,37,33,17
84,2,5,24,1.2,56,73,62
75,2,4,14,0.3,90,99,17
78,2,4,20,0.4,112,106,32
45,1,5,18,0.6,89,19,9
68,2,2,16,0.7,121,59,30
69,2,14,40,1.2,105,73,50
35,1,10,22,0.7,40,33,24
94,2,13,37,1,152,81,64
120,3,33,52,1.6,83,132,91
82,2,6,27,0.7,138,61,30
66,2,30,35,0.8,48,81,46
77,2,9,32,1.2,79,60,56
32,1,6,13,0.5,64,29,13
49,1,13,17,0.9,60,46,34
75,2,4,18,0.8,129,39,26
43,1,15,23,0.9,52,43,29
147,3,13,36,1,211,73,39
27,1,5,16,0.5,53,27,13
120,3,3,15,0.7,181,48,26
56,2,11,36,0.9,107,51,34
120,3,8,28,1,181,51,33
63,2,15,22,0.8,66,64,45
77,2,58,50,1.1,72,104,49
30,1,10,21,0.8,59,23,12
52,2,23,22,0.6,86,54,32
71,2,11,27,0.6,125,45,18
97,2,3,22,0.4,156,43,12
149,3,28,61,1.4,59,143,114
85,2,3,28,0.7,69,120,57
59,2,12,25,0.8,85,68,33
32,1,10,16,0.6,61,32,18
94,2,9,37,1.3,104,72,70
33,1,7,13,0.5,66,18,8
38,1,5,18,0.5,76,37,19
37,1,14,24,0.8,33,37,24
32,1,6,16,0.7,63,23,12
60,2,21,29,0.8,70,70,43
82,2,21,34,1,61,92,60
80,2,6,36,1.1,136,57,46
130,3,12,29,1,193,75,32
52,2,16,22,0.8,53,53,33
