aqi,so2,no2,co,o3,pm10,pm2_5,temp,humi,w_dir,wind,rain
104,48,53,1.2,14,118,78,2,87,0,0,0
99,49,51,1.4,14,111,74,4,80,0,0,0
99,54,50,1.6,14,111,74,2,89,0,1,0
97,53,50,1.5,13,113,72,3,84,0,0,0
99,79,64,1.8,16,127,74,6,70,0,0,0
125,88,84,1.7,26,160,95,11,52,180,1,0
132,53,70,1.1,53,166,100,13,46,180,2,0
98,37,46,0.9,90,122,73,15,45,180,2,0
83,31,40,0.8,107,104,61,17,42,125,2,0
85,25,35,0.8,121,105,63,18,40,180,2,0
80,26,34,0.8,128,100,59,19,38,315,2,0
82,27,42,0.9,124,102,60,18,40,180,2,0
82,40,77,1.4,80,106,60,16,45,125,2,0
99,66,93,2,47,143,74,15,50,125,2,0
130,49,70,1.4,60,186,99,13,53,180,2,0
118,45,66,1.3,61,145,89,12,56,125,2,0
123,54,70,1.6,51,141,93,12,59,0,0,0
135,74,82,2.2,28,164,103,11,62,0,0,0
162,78,77,1.9,27,231,123,11,64,0,0,0
152,74,74,1.7,28,202,116,10,69,0,0,0
143,56,68,1.5,28,182,109,9,71,315,1,0
132,42,63,1.2,31,161,100,9,71,0,0,0
117,43,64,1.3,28,141,88,9,73,0,0,0
117,38,62,1.1,32,144,88,9,74,0,0,0
107,42,61,1.1,29,129,80,9,74,0,0,0
103,35,57,1.1,38,123,77,9,71,90,1,0
102,31,51,1,49,113,76,9,76,0,0,0
94,31,49,0.9,52,107,70,9,71,90,1,0
92,39,48,0.9,58,106,68,10,67,45,2,0
97,33,43,0.8,69,112,72,8,82,0,1,0.1
90,29,41,0.8,70,106,67,8,86,225,1,0
94,29,39,0.8,77,106,70,7,87,0,2,0
89,26,36,0.8,78,102,66,7,89,0,1,0.2
92,20,35,0.8,76,108,68,6,94,0,2,0.2
92,15,34,0.8,69,103,68,5,94,0,3,0.5
94,12,33,0.8,64,98,70,4,94,0,3,0.6
99,12,31,0.9,60,94,74,4,95,0,3,0.3
98,12,32,0.9,52,86,73,4,95,45,3,0.2
85,12,29,0.9,51,79,63,4,94,0,3,0
78,11,27,0.8,56,67,57,3,92,0,3,0
74,11,24,0.8,61,67,54,3,91,0,3,0.1
72,11,25,0.8,54,65,52,3,94,0,2,0
67,10,19,0.7,63,58,48,3,92,0,3,0.1
45,9,16,0.7,77,39,31,2,89,0,3,0
52,9,16,0.7,72,46,36,2,91,45,2,0.1
48,9,16,0.7,64,41,33,2,88,45,3,0.1
39,9,13,0.7,69,34,27,2,86,45,2,0
29,8,12,0.6,69,26,20,2,85,0,2,0
